time,temperature_2m (°C),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),global_tilted_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),relative_humidity_2m (%),wind_speed_10m (km/h),visibility (m),INV/1/DayEnergy (kWh),INV/2/DayEnergy (kWh),INV/3/DayEnergy (kWh),INV/4/DayEnergy (kWh),INV/5/DayEnergy (kWh),INV/6/DayEnergy (kWh),INV/7/DayEnergy (kWh),INV/8/DayEnergy (kWh)
2023-01-01T00:00,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,84,4.1,24140,,,,,,,,
2023-01-01T01:00,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,86,3.9,24140,,,,,,,,
2023-01-01T02:00,-1,0,0,0,0,0,0,0,0,0,0,0,0,88,3.9,24140,,,,,,,,
2023-01-01T03:00,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,93,3.4,24140,,,,,,,,
2023-01-01T04:00,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,93,2.2,24140,,,,,,,,
2023-01-01T05:00,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,92,0.8,24140,,,,,,,,
2023-01-01T06:00,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,96,0.8,24140,,,,,,,,
2023-01-01T07:00,-3.6,0,0,0,0,0,0,0,0,0,0,0,0,100,1.6,24140,,,,,,,,
2023-01-01T08:00,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,100,1.6,24140,,,,,,,,
2023-01-01T09:00,-3,28,3,25,25.4,28,110.9,58,6.2,51.8,34.9,38.5,229.6,100,1.3,24140,,,,,,,,
2023-01-01T10:00,-2.6,80,4,76,16.9,80,335.4,103.4,5.2,98.2,21.8,103.4,433.5,100,1.9,24140,,,,,,,,
2023-01-01T11:00,-2.3,129,4,125,11,129,514.1,146.8,4.6,142.2,12.5,146.8,584.9,100,2.6,24140,,,,,,,,
2023-01-01T12:00,-1.5,194,5,189,11.1,194,634.8,205.8,5.3,200.5,11.8,205.8,673.6,99,3.2,24140,,,,,,,,
2023-01-01T13:00,1.2,291,83,208,170.3,291,689.4,292.7,83.5,209.2,171.3,292.7,693.4,86,3.2,24140,,,,,,,,
2023-01-01T14:00,2.8,434,267,167,560.4,434,674,414,254.7,159.3,534.6,414,643,79,3.3,24140,,,,,,,,
2023-01-01T15:00,5.7,412,311,101,745.9,412,589.8,367.4,277.3,90.1,665.1,367.4,525.9,58,3.4,24140,,,,,,,,
2023-01-01T16:00,6,287,212,75,677.8,287,442.4,227,167.7,59.3,536.2,227,350,57,2.1,24140,,,,,,,,
2023-01-01T17:00,5.5,129,78,51,455.9,129,242,67.8,41,26.8,239.8,67.8,127.3,61,2.2,24140,,,,,,,,
2023-01-01T18:00,4,12,4,8,49.1,12,54.2,0,0,0,0,0,0,67,1.8,24140,,,,,,,,
2023-01-01T19:00,2.6,0,0,0,0,0,0,0,0,0,0,0,0,71,3.1,24140,,,,,,,,
2023-01-01T20:00,0.3,0,0,0,0,0,0,0,0,0,0,0,0,83,5.6,24140,,,,,,,,
2023-01-01T21:00,0.5,0,0,0,0,0,0,0,0,0,0,0,0,83,3.9,24140,,,,,,,,
2023-01-01T22:00,0.2,0,0,0,0,0,0,0,0,0,0,0,0,83,3.7,24140,,,,,,,,
2023-01-01T23:00,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,86,3.9,24140,,,,,,,,
2023-01-02T00:00,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,88,4.6,24140,,,,,,,,
2023-01-02T01:00,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,88,4.3,24140,,,,,,,,
2023-01-02T02:00,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,89,4.1,24140,,,,,,,,
2023-01-02T03:00,-2.7,0,0,0,0,0,0,0,0,0,0,0,0,91,3.1,24140,,,,,,,,
2023-01-02T04:00,-3.2,0,0,0,0,0,0,0,0,0,0,0,0,93,2.2,24140,,,,,,,,
2023-01-02T05:00,-3.9,0,0,0,0,0,0,0,0,0,0,0,0,96,1.4,24140,,,,,,,,
2023-01-02T06:00,-4.4,0,0,0,0,0,0,0,0,0,0,0,0,100,0.7,24140,,,,,,,,
2023-01-02T07:00,-4.6,0,0,0,0,0,0,0,0,0,0,0,0,100,0.7,24140,,,,,,,,
2023-01-02T08:00,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,100,0,24140,,,,,,,,
2023-01-02T09:00,-3.8,27,0,27,0,27,110.5,56,0,56,0,37.1,229.4,100,0.8,24140,,,,,,,,
2023-01-02T10:00,-3.3,77,1,76,4.2,77,335.5,99.6,1.3,98.3,5.5,99.6,433.8,100,0.8,24140,,,,,,,,
2023-01-02T11:00,-2.5,132,2,130,5.5,132,514.7,150.2,2.3,148,6.3,150.2,585.8,97,2.3,24140,,,,,,,,
2023-01-02T12:00,-2.1,177,2,175,4.4,177,636,187.9,2.1,185.7,4.7,187.9,675,100,2.5,24140,,,,,,,,
2023-01-02T13:00,-1.1,228,15,213,30.7,228,691.1,229.4,15.1,214.3,30.9,229.4,695.4,93,2.6,24140,,,,,,,,
2023-01-02T14:00,1.4,310,89,221,186.2,310,676.2,295.9,85,210.9,177.7,295.9,645.5,77,2.5,24140,,,,,,,,
2023-01-02T15:00,3.3,381,228,153,544.4,381,592.5,340,203.5,136.5,485.8,340,528.8,71,3.4,24140,,,,,,,,
2023-01-02T16:00,3.7,293,224,69,711.3,293,445.5,232.3,177.6,54.7,563.9,232.3,353.2,70,2.3,24140,,,,,,,,
2023-01-02T17:00,3.3,132,80,52,461.3,132,245.3,70.3,42.6,27.7,245.7,70.3,130.7,72,1.8,24140,,,,,,,,
